persona_id,question,correct_answer,groundtruth_preference,all_answers,persona,preference_type,conversation_scenario,preference_topic,query_topic,who,updated,previous_preference,context_file_path,num_tokens,distance_from_query_to_target_conversation
persona_025,What's your preferred gaming style?,I enjoy strategic board games that challenge my mind,board games,"['board games', 'video games', 'card games', 'puzzles']","{'age': 35, 'occupation': 'chess_instructor', 'interests': ['strategy', 'games', 'competition'], 'personality': 'strategic'}",gaming_preference,gaming_discussion,entertainment,games,user,2024-02-08,video games,data/contexts/context_025.json,39,1
persona_026,How do you prefer to express creativity?,I love painting landscapes and capturing natural beauty,painting,"['painting', 'writing', 'music', 'crafts']","{'age': 31, 'occupation': 'art_teacher', 'interests': ['art', 'nature', 'teaching'], 'personality': 'artistic'}",creativity_preference,art_discussion,creativity,art,user,2024-02-09,writing,data/contexts/context_026.json,44,3
persona_027,What's your preferred sleeping schedule?,I'm a night owl who stays up late and sleeps in,night owl,"['night owl', 'early bird', 'flexible', 'irregular']","{'age': 26, 'occupation': 'freelance_designer', 'interests': ['design', 'creativity', 'flexibility'], 'personality': 'nocturnal'}",sleep_preference,lifestyle_discussion,lifestyle,sleep,user,2024-02-10,early bird,data/contexts/context_027.json,36,2
persona_028,How do you like to garden?,I prefer growing vegetables and herbs for cooking,vegetable gardening,"['vegetable gardening', 'flower gardens', 'indoor plants', 'landscaping']","{'age': 40, 'occupation': 'chef', 'interests': ['cooking', 'gardening', 'sustainability'], 'personality': 'practical'}",gardening_preference,gardening_discussion,lifestyle,gardening,user,2024-02-11,flower gardens,data/contexts/context_028.json,48,1
persona_029,What's your preferred technology use?,I prefer using technology minimally and focusing on real connections,minimal technology,"['minimal technology', 'cutting edge', 'social media', 'productivity tools']","{'age': 44, 'occupation': 'meditation_teacher', 'interests': ['mindfulness', 'simplicity', 'presence'], 'personality': 'mindful'}",technology_preference,technology_discussion,lifestyle,technology,user,2024-02-12,cutting edge,data/contexts/context_029.json,50,3
persona_030,How do you prefer to organize your time?,I thrive on detailed schedules and careful time management,structured scheduling,"['structured scheduling', 'flexible planning', 'spontaneous', 'deadline driven']","{'age': 38, 'occupation': 'executive_assistant', 'interests': ['organization', 'efficiency', 'planning'], 'personality': 'organized'}",time_preference,productivity_discussion,productivity,time_management,user,2024-02-13,flexible planning,data/contexts/context_030.json,45,2
persona_031,What's your preferred learning environment?,I learn best in collaborative group settings with discussion,group learning,"['group learning', 'solo study', 'online courses', 'workshops']","{'age': 27, 'occupation': 'team_leader', 'interests': ['leadership', 'collaboration', 'learning'], 'personality': 'collaborative'}",learning_preference,education_discussion,education,learning_style,user,2024-02-14,solo study,data/contexts/context_031.json,42,1
persona_032,How do you prefer to handle conflicts?,I believe in addressing conflicts directly through open dialogue,direct dialogue,"['direct dialogue', 'mediation', 'avoidance', 'compromise']","{'age': 41, 'occupation': 'mediator', 'interests': ['conflict_resolution', 'communication', 'justice'], 'personality': 'diplomatic'}",conflict_preference,relationship_discussion,relationships,conflict_resolution,user,2024-02-15,avoidance,data/contexts/context_032.json,47,2
persona_033,What's your preferred writing style?,I enjoy creative writing with vivid imagery and storytelling,creative writing,"['creative writing', 'technical writing', 'journalistic', 'academic']","{'age': 28, 'occupation': 'novelist', 'interests': ['literature', 'storytelling', 'imagination'], 'personality': 'imaginative'}",writing_preference,creative_discussion,creativity,writing,user,2024-02-16,technical writing,data/contexts/context_033.json,43,1
persona_034,How do you like to organize your workspace?,I prefer a clean and minimalist workspace with everything in its place,organized workspace,"['organized workspace', 'creative chaos', 'shared spaces', 'mobile setup']","{'age': 35, 'occupation': 'accountant', 'interests': ['organization', 'efficiency', 'cleanliness'], 'personality': 'methodical'}",workspace_preference,work_discussion,work,workspace,user,2024-02-17,creative chaos,data/contexts/context_034.json,41,2
persona_035,What's your preferred method of note-taking?,I love using digital tools and apps for organizing my thoughts,digital notes,"['digital notes', 'handwritten', 'voice memos', 'mind maps']","{'age': 26, 'occupation': 'tech_consultant', 'interests': ['technology', 'productivity', 'innovation'], 'personality': 'tech_savvy'}",note_preference,productivity_discussion,productivity,note_taking,user,2024-02-18,handwritten,data/contexts/context_035.json,39,1
persona_036,How do you prefer to celebrate achievements?,I like quiet personal reflection and treating myself to something special,personal celebration,"['personal celebration', 'group parties', 'public recognition', 'immediate rewards']","{'age': 37, 'occupation': 'therapist', 'interests': ['self_reflection', 'personal_growth', 'mindfulness'], 'personality': 'introspective'}",celebration_preference,achievement_discussion,personal,achievements,user,2024-02-19,group parties,data/contexts/context_036.json,46,3
persona_037,What's your ideal study environment?,I focus best in collaborative study groups with peers,group study,"['group study', 'silent library', 'cafe atmosphere', 'outdoor spaces']","{'age': 22, 'occupation': 'student', 'interests': ['learning', 'collaboration', 'social_interaction'], 'personality': 'social'}",study_preference,education_discussion,education,studying,user,2024-02-20,silent library,data/contexts/context_037.json,44,2
persona_038,How do you prefer to receive feedback?,I appreciate direct and honest feedback that helps me improve,direct feedback,"['direct feedback', 'gentle suggestions', 'written comments', 'peer review']","{'age': 31, 'occupation': 'software_developer', 'interests': ['coding', 'improvement', 'problem_solving'], 'personality': 'growth_oriented'}",feedback_preference,professional_discussion,work,feedback,user,2024-02-21,gentle suggestions,data/contexts/context_038.json,42,1
persona_039,What's your preferred way to explore new places?,I love detailed planning and research before visiting new destinations,planned exploration,"['planned exploration', 'spontaneous wandering', 'guided tours', 'local recommendations']","{'age': 40, 'occupation': 'travel_planner', 'interests': ['travel', 'research', 'planning'], 'personality': 'organized'}",exploration_preference,travel_discussion,travel,exploration,user,2024-02-22,spontaneous wandering,data/contexts/context_039.json,48,3
persona_040,How do you like to maintain friendships?,I prefer regular one-on-one conversations and deep connections,deep connections,"['deep connections', 'group activities', 'casual check-ins', 'shared experiences']","{'age': 34, 'occupation': 'counselor', 'interests': ['relationships', 'emotional_intelligence', 'communication'], 'personality': 'empathetic'}",friendship_preference,relationship_discussion,relationships,friendships,user,2024-02-23,group activities,data/contexts/context_040.json,45,2
